andres,tomie,emi,lu,patri,magui
ampi,tincho,cec,juli,tomig,mariu
tatu,nes,guada,mariu,mili,carlos,michel,pepenacho
mari,rochi,lucas,mati,ursu,alvaro,flor
sonia,nito,felix,ale,mateo,johny,chiqui,tashi
